Value,Value,Count,P1_001M,POP_AREA,POP_DENS,REP_CAT
1.0,1.0,51.0,18,51.0,0.35294117647058826,0
2.0,2.0,25.0,0,25.0,0.0,0
3.0,3.0,70.0,27,70.0,0.38571428571428573,0
4.0,4.0,27.0,4,27.0,0.14814814814814814,0
5.0,5.0,20.0,10,20.0,0.5,0
6.0,6.0,53.0,4,53.0,0.07547169811320754,0
7.0,7.0,50.0,8,50.0,0.16,0
8.0,8.0,19.0,7,19.0,0.3684210526315789,0
9.0,9.0,250.0,33,242.0,0.13636363636363635,0
10.0,10.0,6809.0,92,3257.0,0.028246852932146148,0
11.0,11.0,61.0,16,61.0,0.26229508196721313,0
12.0,12.0,32.0,3,32.0,0.09375,0
13.0,13.0,443.0,19,407.0,0.04668304668304668,0
14.0,14.0,27.0,2,27.0,0.07407407407407407,22
15.0,15.0,107.0,5,107.0,0.04672897196261682,0
16.0,16.0,34.0,0,34.0,0.0,0
17.0,17.0,1110.0,30,980.0,0.030612244897959183,0
18.0,18.0,23.0,17,23.0,0.7391304347826086,0
19.0,19.0,78.0,7,78.0,0.08974358974358974,0
20.0,20.0,64.0,3,64.0,0.046875,0
21.0,21.0,30.0,9,30.0,0.3,0
22.0,22.0,7.0,1,7.0,0.14285714285714285,0
23.0,23.0,37.0,15,37.0,0.40540540540540543,0
24.0,24.0,14.0,14,14.0,1.0,0
25.0,25.0,28.0,17,28.0,0.6071428571428571,23
26.0,26.0,60.0,14,60.0,0.23333333333333334,0
27.0,27.0,145.0,23,145.0,0.15862068965517243,0
28.0,28.0,91.0,17,91.0,0.18681318681318682,0
29.0,29.0,52.0,18,52.0,0.34615384615384615,0
30.0,30.0,30.0,11,30.0,0.36666666666666664,23
31.0,31.0,45.0,6,45.0,0.13333333333333333,0
32.0,32.0,58.0,22,55.0,0.4,0
33.0,33.0,64.0,19,63.0,0.30158730158730157,0
34.0,34.0,34.0,8,34.0,0.23529411764705882,22
35.0,35.0,19.0,2,19.0,0.10526315789473684,0
36.0,36.0,47.0,2,47.0,0.0425531914893617,0
37.0,37.0,395.0,42,395.0,0.10632911392405063,0
38.0,38.0,34.0,1,34.0,0.029411764705882353,0
39.0,39.0,6.0,0,6.0,0.0,0
40.0,40.0,54.0,20,54.0,0.37037037037037035,0
41.0,41.0,16.0,21,16.0,1.3125,0
42.0,42.0,429.0,5,417.0,0.011990407673860911,0
43.0,43.0,218.0,7,210.0,0.03333333333333333,0
44.0,44.0,73.0,2,39.0,0.05128205128205128,0
45.0,45.0,42.0,3,42.0,0.07142857142857142,0
46.0,46.0,36.0,11,36.0,0.3055555555555556,0
47.0,47.0,36.0,18,36.0,0.5,0
48.0,48.0,87.0,13,87.0,0.14942528735632185,0
49.0,49.0,155.0,4,155.0,0.025806451612903226,0
50.0,50.0,22.0,11,22.0,0.5,22
51.0,51.0,84.0,1,83.0,0.012048192771084338,0
52.0,52.0,38.0,30,38.0,0.7894736842105263,0
53.0,53.0,35.0,8,35.0,0.22857142857142856,22
54.0,54.0,60.0,14,60.0,0.23333333333333334,0
55.0,55.0,572.0,10,394.0,0.025380710659898477,0
56.0,56.0,39.0,9,39.0,0.23076923076923078,0
57.0,57.0,88.0,0,88.0,0.0,0
58.0,58.0,344.0,12,275.0,0.04363636363636364,0
59.0,59.0,233.0,58,233.0,0.24892703862660945,0
60.0,60.0,100.0,12,100.0,0.12,0
61.0,61.0,70.0,20,70.0,0.2857142857142857,0
62.0,62.0,71.0,10,71.0,0.14084507042253522,0
63.0,63.0,710.0,61,686.0,0.08892128279883382,0
64.0,64.0,34.0,9,34.0,0.2647058823529412,0
65.0,65.0,18.0,0,18.0,0.0,0
66.0,66.0,15.0,5,15.0,0.3333333333333333,0
67.0,67.0,4400.0,40,4145.0,0.009650180940892641,0
68.0,68.0,29.0,9,29.0,0.3103448275862069,22
69.0,69.0,26.0,0,26.0,0.0,0
70.0,70.0,40.0,9,40.0,0.225,0
71.0,71.0,142.0,21,142.0,0.14788732394366197,0
72.0,72.0,79.0,13,79.0,0.16455696202531644,0
73.0,73.0,34.0,1,34.0,0.029411764705882353,0
74.0,74.0,280.0,12,202.0,0.0594059405940594,0
75.0,75.0,67.0,0,57.0,0.0,0
76.0,76.0,21907.0,60,5387.0,0.011137924633376647,0
77.0,77.0,52.0,1,52.0,0.019230769230769232,0
78.0,78.0,99.0,14,99.0,0.1414141414141414,0
79.0,79.0,39.0,3,39.0,0.07692307692307693,0
80.0,80.0,34.0,5,34.0,0.14705882352941177,0
81.0,81.0,41.0,27,41.0,0.6585365853658537,22
82.0,82.0,13.0,4,13.0,0.3076923076923077,0
83.0,83.0,2763.0,0,2679.0,0.0,0
84.0,84.0,41.0,3,41.0,0.07317073170731707,0
85.0,85.0,50.0,1,50.0,0.02,0
86.0,86.0,33.0,15,33.0,0.45454545454545453,0
87.0,87.0,56.0,1,56.0,0.017857142857142856,0
88.0,88.0,8.0,8,8.0,1.0,0
89.0,89.0,58.0,19,58.0,0.3275862068965517,0
90.0,90.0,42.0,0,42.0,0.0,0
91.0,91.0,62.0,15,62.0,0.24193548387096775,22
92.0,92.0,57.0,6,57.0,0.10526315789473684,0
93.0,93.0,84.0,18,82.0,0.21951219512195122,0
94.0,94.0,69.0,2,62.0,0.03225806451612903,0
95.0,95.0,294.0,20,286.0,0.06993006993006994,0
96.0,96.0,48.0,2,48.0,0.041666666666666664,0
97.0,97.0,115.0,39,115.0,0.3391304347826087,0
98.0,98.0,54.0,16,54.0,0.2962962962962963,0
99.0,99.0,8.0,1,8.0,0.125,0
100.0,100.0,10782.0,25,6839.0,0.003655505190817371,0
101.0,101.0,136.0,33,136.0,0.2426470588235294,0
102.0,102.0,67.0,9,67.0,0.13432835820895522,0
103.0,103.0,48.0,16,48.0,0.3333333333333333,0
104.0,104.0,652.0,0,531.0,0.0,0
105.0,105.0,106.0,37,106.0,0.3490566037735849,0
106.0,106.0,33.0,0,33.0,0.0,0
107.0,107.0,136.0,0,136.0,0.0,0
108.0,108.0,40.0,13,40.0,0.325,22
109.0,109.0,567.0,22,567.0,0.03880070546737213,0
110.0,110.0,41.0,11,41.0,0.2682926829268293,22
111.0,111.0,17.0,2,17.0,0.11764705882352941,0
112.0,112.0,58.0,23,58.0,0.39655172413793105,0
113.0,113.0,15.0,2,15.0,0.13333333333333333,22
114.0,114.0,398.0,41,398.0,0.10301507537688442,0
115.0,115.0,80.0,14,80.0,0.175,0
116.0,116.0,760.0,4,760.0,0.005263157894736842,0
117.0,117.0,79.0,31,79.0,0.3924050632911392,0
118.0,118.0,34.0,2,34.0,0.058823529411764705,0
119.0,119.0,57.0,16,57.0,0.2807017543859649,0
120.0,120.0,81.0,18,81.0,0.2222222222222222,0
121.0,121.0,49.0,1,49.0,0.02040816326530612,0
122.0,122.0,142.0,25,141.0,0.1773049645390071,0
123.0,123.0,403.0,23,364.0,0.06318681318681318,0
124.0,124.0,96.0,2,71.0,0.028169014084507043,0
125.0,125.0,2229.0,107,736.0,0.1453804347826087,0
126.0,126.0,5634.0,31,5140.0,0.006031128404669261,82
127.0,127.0,2368.0,4,604.0,0.006622516556291391,0
128.0,128.0,95.0,0,95.0,0.0,0
129.0,129.0,85.0,1,51.0,0.0196078431372549,0
130.0,130.0,17.0,10,17.0,0.5882352941176471,0
131.0,131.0,414.0,41,300.0,0.13666666666666666,0
132.0,132.0,161.0,33,161.0,0.20496894409937888,0
133.0,133.0,474.0,90,467.0,0.19271948608137046,0
134.0,134.0,31.0,10,31.0,0.3225806451612903,0
135.0,135.0,19.0,11,19.0,0.5789473684210527,0
136.0,136.0,179.0,27,179.0,0.15083798882681565,0
137.0,137.0,33.0,0,33.0,0.0,0
138.0,138.0,30.0,4,30.0,0.13333333333333333,0
139.0,139.0,24336.0,66,2871.0,0.022988505747126436,0
140.0,140.0,15.0,4,15.0,0.26666666666666666,23
141.0,141.0,7.0,6,7.0,0.8571428571428571,0
142.0,142.0,51.0,2,51.0,0.0392156862745098,0
143.0,143.0,20.0,12,20.0,0.6,0
144.0,144.0,79.0,8,79.0,0.10126582278481013,0
145.0,145.0,34.0,1,34.0,0.029411764705882353,0
146.0,146.0,10844.0,27,2914.0,0.009265614275909403,0
147.0,147.0,9.0,2,9.0,0.2222222222222222,0
148.0,148.0,28.0,1,28.0,0.03571428571428571,0
149.0,149.0,19.0,7,19.0,0.3684210526315789,22
150.0,150.0,76.0,21,76.0,0.27631578947368424,22
151.0,151.0,34.0,19,34.0,0.5588235294117647,0
152.0,152.0,26.0,0,26.0,0.0,0
153.0,153.0,188.0,8,188.0,0.0425531914893617,0
154.0,154.0,1059.0,1,1016.0,0.000984251968503937,82
155.0,155.0,39.0,4,39.0,0.10256410256410256,0
156.0,156.0,341.0,61,333.0,0.1831831831831832,0
157.0,157.0,33.0,3,33.0,0.09090909090909091,0
158.0,158.0,54.0,4,54.0,0.07407407407407407,0
159.0,159.0,24.0,1,24.0,0.041666666666666664,0
160.0,160.0,82.0,10,80.0,0.125,0
161.0,161.0,501.0,65,381.0,0.17060367454068243,0
162.0,162.0,58.0,3,58.0,0.05172413793103448,0
163.0,163.0,31.0,22,31.0,0.7096774193548387,0
164.0,164.0,33.0,3,33.0,0.09090909090909091,0
165.0,165.0,43.0,18,43.0,0.4186046511627907,0
166.0,166.0,19.0,12,19.0,0.631578947368421,0
167.0,167.0,96.0,3,96.0,0.03125,0
168.0,168.0,37.0,1,37.0,0.02702702702702703,0
169.0,169.0,45.0,6,44.0,0.13636363636363635,0
170.0,170.0,627.0,1,622.0,0.001607717041800643,0
171.0,171.0,51.0,11,51.0,0.21568627450980393,0
172.0,172.0,154.0,21,154.0,0.13636363636363635,0
173.0,173.0,412.0,73,412.0,0.17718446601941748,0
174.0,174.0,29.0,14,29.0,0.4827586206896552,22
175.0,175.0,54.0,19,54.0,0.35185185185185186,0
176.0,176.0,15.0,5,15.0,0.3333333333333333,22
177.0,177.0,11.0,2,11.0,0.18181818181818182,0
178.0,178.0,101.0,12,101.0,0.1188118811881188,0
179.0,179.0,29.0,1,29.0,0.034482758620689655,0
180.0,180.0,13.0,0,13.0,0.0,0
181.0,181.0,90.0,28,90.0,0.3111111111111111,0
182.0,182.0,312.0,2,276.0,0.007246376811594203,0
183.0,183.0,552.0,155,525.0,0.29523809523809524,0
184.0,184.0,167.0,32,159.0,0.20125786163522014,0
185.0,185.0,52.0,10,52.0,0.19230769230769232,0
186.0,186.0,1374.0,14,1044.0,0.013409961685823755,0
187.0,187.0,67.0,7,67.0,0.1044776119402985,0
188.0,188.0,29.0,1,29.0,0.034482758620689655,0
189.0,189.0,37.0,0,37.0,0.0,0
190.0,190.0,10.0,1,10.0,0.1,0
191.0,191.0,23.0,11,23.0,0.4782608695652174,22
192.0,192.0,39.0,0,39.0,0.0,22
193.0,193.0,39.0,5,39.0,0.1282051282051282,22
194.0,194.0,77.0,8,71.0,0.11267605633802817,0
195.0,195.0,30.0,7,30.0,0.23333333333333334,22
196.0,196.0,1145.0,5,1145.0,0.004366812227074236,0
197.0,197.0,403.0,31,400.0,0.0775,0
198.0,198.0,108.0,8,108.0,0.07407407407407407,0
199.0,199.0,2775.0,5,2498.0,0.0020016012810248197,0
200.0,200.0,51.0,2,15.0,0.13333333333333333,0
201.0,201.0,32.0,1,32.0,0.03125,22
202.0,202.0,199.0,12,199.0,0.06030150753768844,0
203.0,203.0,47.0,13,47.0,0.2765957446808511,0
204.0,204.0,32.0,7,32.0,0.21875,0
205.0,205.0,376.0,6,376.0,0.015957446808510637,0
206.0,206.0,42.0,4,42.0,0.09523809523809523,0
207.0,207.0,62.0,19,62.0,0.3064516129032258,0
208.0,208.0,9.0,0,9.0,0.0,0
209.0,209.0,16.0,1,16.0,0.0625,22
210.0,210.0,693.0,32,384.0,0.08333333333333333,0
211.0,211.0,30.0,0,30.0,0.0,22
212.0,212.0,31.0,8,31.0,0.25806451612903225,22
213.0,213.0,133.0,1,133.0,0.007518796992481203,0
214.0,214.0,19.0,8,19.0,0.42105263157894735,0
215.0,215.0,46.0,4,46.0,0.08695652173913043,0
216.0,216.0,56.0,18,56.0,0.32142857142857145,0
217.0,217.0,21.0,11,21.0,0.5238095238095238,0
218.0,218.0,31.0,2,31.0,0.06451612903225806,0
219.0,219.0,6172.0,44,3679.0,0.011959771677086164,0
220.0,220.0,41.0,0,41.0,0.0,0
221.0,221.0,45.0,10,45.0,0.2222222222222222,0
222.0,222.0,819.0,32,677.0,0.047267355982274745,0
223.0,223.0,417.0,1,405.0,0.0024691358024691358,0
224.0,224.0,63.0,5,63.0,0.07936507936507936,0
225.0,225.0,19.0,14,19.0,0.7368421052631579,23
226.0,226.0,7963.0,23,1474.0,0.015603799185888738,0
227.0,227.0,55.0,10,55.0,0.18181818181818182,0
228.0,228.0,21.0,7,21.0,0.3333333333333333,0
229.0,229.0,39.0,3,39.0,0.07692307692307693,0
230.0,230.0,77.0,9,77.0,0.11688311688311688,0
231.0,231.0,14.0,6,14.0,0.42857142857142855,0
232.0,232.0,9.0,2,9.0,0.2222222222222222,0
233.0,233.0,48.0,20,48.0,0.4166666666666667,0
234.0,234.0,20.0,12,20.0,0.6,0
235.0,235.0,61.0,11,61.0,0.18032786885245902,0
236.0,236.0,703.0,14,457.0,0.030634573304157548,0
237.0,237.0,125.0,20,125.0,0.16,0
238.0,238.0,98.0,14,98.0,0.14285714285714285,0
239.0,239.0,188.0,49,165.0,0.296969696969697,0
240.0,240.0,22.0,0,22.0,0.0,22
241.0,241.0,77.0,0,31.0,0.0,21
242.0,242.0,183.0,2,183.0,0.01092896174863388,0
