REP_CAT,SUM_P1_001M,SUM_POP_AREA,SAMPLEDENS,METHOD,CLASSDENS
21,29.0,370.0,0.07837837837837838,Sampled,0.07837837837837838
22,1752.0,6863.0,0.25528194667055226,Sampled,0.25528194667055226
23,372.0,789.0,0.4714828897338403,Sampled,0.4714828897338403
82,321.0,111097.0,0.0028893669496025997,Sampled,0.0028893669496025997
0,,,,Preset,0.0
11,,,,Preset,0.0
31,,,,Preset,0.0
90,,,,Preset,0.0
91,,,,Preset,0.0
24,,,,IAW,0.0346771532561978
41,,,,IAW,0.013938249188562055
42,,,,IAW,0.005868464796140606
43,,,,IAW,0.0009186585568224691
52,,,,IAW,0.004202855305874393
71,,,,IAW,0.0016313138891998332
81,,,,IAW,0.0
95,,,,IAW,0.005435401391121995
