,Value,Count,ancID,polyID,POP_COUNT,POP_AREA,CLASSDENS,POP_EST,TOTALFRACT,NEW_POP,NEWDENSITY
1,221.0,8.0,11.0,9.0,65.0,240.0,0.0,0.0,0.0,0.0,0.0
2,242.0,1.0,11.0,10.0,43.0,5669.0,0.0,0.0,0.0,0.0,0.0
3,274.0,13.0,21.0,1.0,71.0,51.0,0.001,0.013000000000000001,0.1460674157303371,10.370786516853935,0.7977528089887642
4,298.0,38.0,22.0,1.0,46.0,51.0,0.002,0.076,0.8539325842696629,39.28089887640449,1.0337078651685392
5,322.0,1.0,22.0,2.0,90.0,25.0,0.002,0.002,0.037037037037037035,3.333333333333333,3.333333333333333
6,346.0,3.0,21.0,4.0,82.0,27.0,0.001,0.003,0.058823529411764705,4.823529411764706,1.6078431372549018
7,347.0,8.0,22.0,3.0,65.0,70.0,0.002,0.016,0.1095890410958904,7.123287671232877,0.8904109589041096
8,348.0,20.0,23.0,2.0,22.0,25.0,0.002,0.04,0.7407407407407407,16.296296296296294,0.8148148148148147
9,373.0,24.0,22.0,4.0,186.0,27.0,0.002,0.048,0.9411764705882353,175.05882352941177,7.294117647058823
10,374.0,56.0,23.0,3.0,861.0,70.0,0.002,0.112,0.7671232876712328,660.4931506849315,11.794520547945206
11,375.0,4.0,24.0,2.0,57.0,25.0,0.003,0.012,0.2222222222222222,12.666666666666666,3.1666666666666665
12,399.0,19.0,21.0,6.0,49.0,53.0,0.001,0.019,0.21839080459770113,10.701149425287355,0.5632183908045976
13,400.0,3.0,22.0,5.0,283.0,20.0,0.002,0.006,0.15,42.449999999999996,14.149999999999999
14,402.0,6.0,24.0,3.0,33.0,70.0,0.003,0.018000000000000002,0.1232876712328767,4.068493150684931,0.6780821917808219
15,427.0,11.0,21.0,7.0,54.0,50.0,0.001,0.011,0.12359550561797752,6.674157303370786,0.6067415730337079
16,428.0,33.0,22.0,6.0,23.0,53.0,0.002,0.066,0.7586206896551724,17.448275862068964,0.5287356321839081
17,429.0,17.0,23.0,5.0,356.0,20.0,0.002,0.034,0.8500000000000001,302.6,17.8
18,456.0,1.0,21.0,8.0,75.0,19.0,0.001,0.001,0.027027027027027025,2.0270270270270268,2.0270270270270268
19,457.0,38.0,22.0,7.0,34.0,50.0,0.002,0.076,0.8539325842696629,29.033707865168537,0.7640449438202247
