Value,Value,Count,P1_001N,POP_AREA,POP_DENS,REP_CAT
1.0,1.0,32.0,65,32.0,2.03125,0
2.0,2.0,15.0,43,15.0,2.8666666666666667,23
3.0,3.0,44.0,71,44.0,1.6136363636363635,23
4.0,4.0,15.0,46,15.0,3.066666666666667,22
5.0,5.0,13.0,90,13.0,6.923076923076923,23
6.0,6.0,34.0,82,34.0,2.411764705882353,0
7.0,7.0,31.0,65,31.0,2.096774193548387,0
8.0,8.0,13.0,22,13.0,1.6923076923076923,22
9.0,9.0,157.0,186,156.0,1.1923076923076923,0
10.0,10.0,4351.0,861,4348.0,0.19802207911683534,0
11.0,11.0,38.0,57,38.0,1.5,0
12.0,12.0,20.0,49,20.0,2.45,22
13.0,13.0,287.0,283,287.0,0.9860627177700348,0
14.0,14.0,15.0,33,15.0,2.2,22
15.0,15.0,71.0,54,71.0,0.7605633802816901,0
16.0,16.0,20.0,23,20.0,1.15,22
17.0,17.0,708.0,356,708.0,0.5028248587570622,0
18.0,18.0,14.0,75,14.0,5.357142857142857,0
19.0,19.0,49.0,34,49.0,0.6938775510204082,0
20.0,20.0,39.0,85,39.0,2.1794871794871793,0
21.0,21.0,20.0,57,20.0,2.85,21
22.0,22.0,4.0,44,4.0,11.0,0
23.0,23.0,24.0,79,24.0,3.2916666666666665,22
24.0,24.0,7.0,26,7.0,3.7142857142857144,0
25.0,25.0,18.0,34,18.0,1.8888888888888888,23
26.0,26.0,39.0,165,39.0,4.230769230769231,23
27.0,27.0,92.0,110,92.0,1.1956521739130435,0
28.0,28.0,59.0,101,59.0,1.7118644067796611,0
29.0,29.0,32.0,55,32.0,1.71875,22
30.0,30.0,20.0,47,20.0,2.35,23
31.0,31.0,26.0,41,26.0,1.5769230769230769,0
32.0,32.0,39.0,66,39.0,1.6923076923076923,0
33.0,33.0,40.0,98,40.0,2.45,0
34.0,34.0,19.0,45,19.0,2.3684210526315788,22
35.0,35.0,14.0,31,14.0,2.2142857142857144,0
36.0,36.0,31.0,44,31.0,1.4193548387096775,0
37.0,37.0,250.0,323,250.0,1.292,0
38.0,38.0,22.0,52,22.0,2.3636363636363638,0
39.0,39.0,4.0,36,4.0,9.0,0
40.0,40.0,37.0,199,37.0,5.378378378378378,0
41.0,41.0,12.0,117,12.0,9.75,23
42.0,42.0,273.0,191,273.0,0.6996336996336996,0
43.0,43.0,137.0,21,137.0,0.15328467153284672,0
44.0,44.0,48.0,12,48.0,0.25,0
45.0,45.0,28.0,54,28.0,1.9285714285714286,0
46.0,46.0,23.0,40,23.0,1.7391304347826086,0
47.0,47.0,25.0,75,25.0,3.0,0
48.0,48.0,57.0,100,57.0,1.7543859649122806,0
49.0,49.0,99.0,49,99.0,0.494949494949495,0
50.0,50.0,15.0,37,15.0,2.466666666666667,22
51.0,51.0,55.0,22,55.0,0.4,0
52.0,52.0,23.0,120,23.0,5.217391304347826,23
53.0,53.0,25.0,56,25.0,2.24,22
54.0,54.0,37.0,61,37.0,1.6486486486486487,0
55.0,55.0,362.0,206,329.0,0.6261398176291794,0
56.0,56.0,25.0,62,25.0,2.48,22
57.0,57.0,54.0,20,54.0,0.37037037037037035,0
58.0,58.0,222.0,119,203.0,0.5862068965517241,0
59.0,59.0,147.0,410,147.0,2.7891156462585034,0
60.0,60.0,65.0,88,65.0,1.353846153846154,0
61.0,61.0,46.0,91,46.0,1.9782608695652173,22
