REP_CAT,SUM_P1_001N,SUM_POP_AREA,SAMPLEDENS,METHOD,CLASSDENS
21,7766.0,15193.0,0.5111564536299612,Sampled,0.5111564536299612
22,67365.0,55639.0,1.2107514513201172,Preset,2.0
23,19245.0,9346.0,2.059169698266638,Preset,3.0
82,5644.0,195991.0,0.028797240689623502,Preset,0.001
90,7135.0,613252.0,0.011634695035646032,Preset,0.001
0,,,,Preset,0.0
11,,,,Preset,0.0
12,,,,Preset,0.0
95,,,,Preset,0.0
31,,,,Preset,0.0
41,,,,Preset,0.001
42,,,,Preset,0.001
43,,,,Preset,0.001
52,,,,Preset,0.001
71,,,,Preset,0.001
81,,,,Preset,0.001
91,,,,Preset,0.0
24,,,,Preset,4.0
