Value,Value,Count,P1_001M,POP_AREA,POP_DENS,REP_CAT
1.0,1.0,7391.0,326,5822.0,0.0559945036070079,0
2.0,2.0,6172.0,282,3232.0,0.08725247524752475,0
3.0,3.0,7494.0,397,3700.0,0.1072972972972973,0
4.0,4.0,377.0,50,338.0,0.14792899408284024,0
5.0,5.0,757.0,436,757.0,0.5759577278731837,0
6.0,6.0,2319.0,203,2200.0,0.09227272727272727,0
7.0,7.0,1022.0,109,937.0,0.11632870864461047,0
8.0,8.0,2701.0,149,2633.0,0.0565894417014812,23
9.0,9.0,12785.0,114,8858.0,0.012869722284940167,0
10.0,10.0,4168.0,211,2727.0,0.07737440410707737,0
11.0,11.0,6306.0,290,6119.0,0.04739336492890995,0
12.0,12.0,2190.0,213,1974.0,0.10790273556231003,0
13.0,13.0,4759.0,269,3580.0,0.07513966480446928,0
14.0,14.0,1156.0,235,1117.0,0.21038495971351837,22
15.0,15.0,9918.0,336,6025.0,0.055767634854771785,0
16.0,16.0,101520.0,339,88171.0,0.003844801578750383,82
17.0,17.0,3794.0,446,3216.0,0.138681592039801,0
18.0,18.0,11593.0,251,9248.0,0.027141003460207612,0
19.0,19.0,4371.0,120,2987.0,0.040174087713424844,0
20.0,20.0,1561.0,169,1473.0,0.11473183978275628,0
21.0,21.0,3948.0,334,3107.0,0.10749919536530415,0
22.0,22.0,1627.0,125,1592.0,0.0785175879396985,0
23.0,23.0,3841.0,295,3305.0,0.08925869894099848,0
24.0,24.0,5658.0,403,5005.0,0.08051948051948052,0
25.0,25.0,3467.0,254,3217.0,0.07895554864780852,0
26.0,26.0,13021.0,496,9401.0,0.05276034464418679,0
27.0,27.0,3080.0,352,2657.0,0.13248024087316523,0
28.0,28.0,2077.0,197,1630.0,0.12085889570552147,0
29.0,29.0,2232.0,249,2218.0,0.11226330027051398,0
30.0,30.0,1131.0,207,1077.0,0.19220055710306408,0
31.0,31.0,81634.0,166,41555.0,0.003994705811575021,82
32.0,32.0,2181.0,435,2023.0,0.21502718734552645,22
33.0,33.0,2494.0,225,2229.0,0.1009421265141319,0
34.0,34.0,4617.0,423,4180.0,0.10119617224880383,0
35.0,35.0,2328.0,188,1593.0,0.11801632140615191,22
36.0,36.0,2248.0,339,2090.0,0.16220095693779904,0
37.0,37.0,2277.0,688,2157.0,0.3189615206305053,0
38.0,38.0,952.0,109,952.0,0.11449579831932773,0
39.0,39.0,5436.0,130,3621.0,0.03590168461750898,0
40.0,40.0,39106.0,239,18567.0,0.012872300317768082,82
41.0,41.0,4559.0,77,3691.0,0.020861555134109998,0
42.0,42.0,1814.0,290,1788.0,0.1621923937360179,0
43.0,43.0,1506.0,142,1330.0,0.10676691729323308,22
44.0,44.0,3538.0,210,2045.0,0.10268948655256724,0
45.0,45.0,1290.0,240,1256.0,0.1910828025477707,0
46.0,46.0,2337.0,383,2329.0,0.16444826105624732,22
47.0,47.0,2080.0,240,1979.0,0.1212733703890854,0
48.0,48.0,4347.0,125,3259.0,0.03835532371893219,0
49.0,49.0,10619.0,156,9674.0,0.01612569774653711,0
50.0,50.0,6118.0,451,3456.0,0.13049768518518517,0
51.0,51.0,1169.0,271,1159.0,0.23382226056945643,0
52.0,52.0,925.0,296,924.0,0.3203463203463203,0
53.0,53.0,10987.0,231,6075.0,0.03802469135802469,0
54.0,54.0,1755.0,518,1755.0,0.2951566951566952,22
55.0,55.0,1500.0,323,1500.0,0.21533333333333332,0
56.0,56.0,5258.0,116,3234.0,0.035868893011750155,0
57.0,57.0,4218.0,184,3383.0,0.054389595033993494,0
58.0,58.0,4626.0,294,3885.0,0.07567567567567568,0
59.0,59.0,1951.0,232,1441.0,0.16099930603747398,0
60.0,60.0,72971.0,338,37324.0,0.009055835387418283,82
61.0,61.0,10398.0,159,9680.0,0.016425619834710744,82
62.0,62.0,1544.0,273,1532.0,0.17819843342036554,0
63.0,63.0,5135.0,122,3350.0,0.036417910447761194,0
64.0,64.0,956.0,85,909.0,0.09350935093509351,0
65.0,65.0,1734.0,529,1703.0,0.3106283029947152,0
66.0,66.0,568.0,98,568.0,0.17253521126760563,23
67.0,67.0,1370.0,140,1319.0,0.10614101592115238,22
68.0,68.0,2738.0,168,1199.0,0.14011676396997497,0
69.0,69.0,7000.0,386,5434.0,0.07103422892896577,0
70.0,70.0,5794.0,240,4406.0,0.05447117566954154,0
71.0,71.0,2379.0,427,2333.0,0.18302614659237035,0
72.0,72.0,6249.0,230,3955.0,0.05815423514538559,0
73.0,73.0,2733.0,275,2717.0,0.10121457489878542,22
74.0,74.0,3265.0,243,2696.0,0.09013353115727003,0
75.0,75.0,1507.0,192,1441.0,0.13324080499653018,22
76.0,76.0,1227.0,138,1190.0,0.11596638655462185,21
77.0,77.0,2863.0,369,2728.0,0.13526392961876832,0
78.0,78.0,2692.0,317,1768.0,0.17929864253393665,0
79.0,79.0,1611.0,299,1520.0,0.19671052631578947,22
80.0,80.0,51219.0,402,13452.0,0.029884032114183764,0
81.0,81.0,2503.0,395,2371.0,0.1665963728384648,0
82.0,82.0,3174.0,492,2330.0,0.2111587982832618,0
83.0,83.0,1429.0,233,1429.0,0.1630510846745976,0
84.0,84.0,11008.0,126,7471.0,0.01686521215366082,0
85.0,85.0,5718.0,301,5366.0,0.056093924711144244,0
86.0,86.0,39094.0,160,12647.0,0.012651221633588993,0
87.0,87.0,1521.0,184,1510.0,0.12185430463576159,22
88.0,88.0,1457.0,178,1445.0,0.12318339100346021,0
89.0,89.0,1592.0,287,1525.0,0.1881967213114754,22
90.0,90.0,851.0,148,851.0,0.17391304347826086,22
91.0,91.0,1169.0,233,1056.0,0.2206439393939394,22
92.0,92.0,2445.0,163,2231.0,0.07306140744060959,0
93.0,93.0,1987.0,447,1987.0,0.22496225465525918,22
94.0,94.0,1236.0,312,1190.0,0.26218487394957984,22
95.0,95.0,1739.0,238,1739.0,0.136860264519839,22
96.0,96.0,3344.0,172,3142.0,0.0547422024188415,0
97.0,97.0,9335.0,123,8629.0,0.014254258894425774,0
98.0,98.0,2685.0,298,2660.0,0.11203007518796992,22
99.0,99.0,700.0,114,700.0,0.16285714285714287,22
100.0,100.0,1244.0,181,1231.0,0.14703493095044678,21
101.0,101.0,1577.0,239,1446.0,0.165283540802213,0
102.0,102.0,3629.0,316,2947.0,0.10722768917543264,21
103.0,103.0,2639.0,333,2604.0,0.12788018433179724,22
104.0,104.0,2338.0,299,2280.0,0.13114035087719297,22
105.0,105.0,1180.0,166,1170.0,0.14188034188034188,22
106.0,106.0,24688.0,366,18058.0,0.020268025251965888,0
107.0,107.0,383640.0,278,25023.0,0.011109779003316948,0
108.0,108.0,2510.0,231,2440.0,0.09467213114754099,0
109.0,109.0,1164.0,60,1162.0,0.05163511187607573,0
110.0,110.0,107011.0,453,50644.0,0.008944791090751126,82
111.0,111.0,546.0,97,532.0,0.18233082706766918,0
112.0,112.0,2418.0,181,1808.0,0.10011061946902655,0
113.0,113.0,32012.0,600,21508.0,0.027896596615212942,0
114.0,114.0,138627.0,125,83022.0,0.00150562501505625,82
115.0,115.0,3329.0,334,2147.0,0.15556590591523056,22
116.0,116.0,939.0,103,939.0,0.10969116080937168,22
117.0,117.0,967.0,125,967.0,0.12926577042399173,0
118.0,118.0,498.0,49,498.0,0.09839357429718876,0
119.0,119.0,91701.0,365,50904.0,0.00717035989313217,82
120.0,120.0,1114.0,218,989.0,0.2204246713852376,22
121.0,121.0,799.0,127,799.0,0.15894868585732166,22
122.0,122.0,816.0,108,691.0,0.15629522431259044,22
123.0,123.0,1166.0,145,978.0,0.14826175869120656,0
124.0,124.0,782.0,269,762.0,0.3530183727034121,0
125.0,125.0,1194.0,96,1180.0,0.08135593220338982,0
126.0,126.0,1642.0,147,1586.0,0.0926860025220681,0
127.0,127.0,828.0,82,828.0,0.09903381642512077,22
128.0,128.0,966.0,64,966.0,0.06625258799171843,0
129.0,129.0,1179.0,155,1147.0,0.13513513513513514,22
130.0,130.0,1208.0,183,1200.0,0.1525,22
131.0,131.0,1051.0,98,1010.0,0.09702970297029703,22
