REP_CAT,SUM_P1_001M,SUM_POP_AREA,SAMPLEDENS,METHOD,CLASSDENS
21,635.0,5368.0,0.1182935916542474,Sampled,0.1182935916542474
22,7904.0,49582.0,0.15941269008914524,Sampled,0.15941269008914524
23,247.0,3201.0,0.07716338644173695,Sampled,0.07716338644173695
82,2184.0,379867.0,0.0057493807042991365,Sampled,0.0057493807042991365
0,,,,Preset,0.0
11,,,,Preset,0.0
31,,,,Preset,0.0
90,,,,Preset,0.0
91,,,,Preset,0.0
24,,,,IAW,0.0021834790264656126
41,,,,IAW,0.0
42,,,,IAW,0.0
43,,,,IAW,0.0
52,,,,IAW,0.0
71,,,,IAW,0.0
81,,,,IAW,0.0
95,,,,IAW,0.0
